datum_zobrazeni;datum;body;incidence14_100;incidence14_100_body;incidence_65_14_100;incidence_65_14_100_body;incidence_65_roste;incidence_65_roste_body;simple_r;simple_r_body;pozit_perc_test;pozit_perc_test_body;pozit_perc_test_roste;pozit_perc_test_roste_body
2020-10-01;2020-09-30;52;278.120157500000;13;145.100228400000;10;1;2;1.017140579325;10;0.152991376122;15;1;2
2020-10-02;2020-10-01;52;281.654870100000;13;155.467881300000;10;1;2;1.061248999199;10;0.157642791306;15;1;2
2020-10-03;2020-10-02;52;297.430161100000;13;170.620604800000;10;1;2;1.094525738176;10;0.163742975812;15;1;2
2020-10-04;2020-10-03;52;302.189866600000;13;181.551207200000;10;1;2;1.146335009261;10;0.167606519320;15;1;2
2020-10-05;2020-10-04;57;310.194400700000;13;189.244850100000;10;1;2;1.215982574365;15;0.174919463021;15;1;2
2020-10-06;2020-10-05;57;325.558243700000;13;208.760432100000;10;1;2;1.286675375571;15;0.182729768839;15;1;2
2020-10-07;2020-10-06;62;344.915002700000;13;225.179791900000;10;1;2;1.395322519803;15;0.193681822148;20;1;2
2020-10-08;2020-10-07;70;373.248809400000;13;248.260720600000;13;1;2;1.468516860638;20;0.206975159616;20;1;2
2020-10-09;2020-10-08;70;396.514324600000;13;267.401002900000;13;1;2;1.529143582640;20;0.217161824365;20;1;2
2020-10-10;2020-10-09;80;449.535012300000;13;304.461843700000;13;1;2;1.753134796238;25;0.246110080784;25;1;2
2020-10-11;2020-10-10;80;474.362159700000;13;323.273738800000;13;1;2;1.695517538961;25;0.255355586476;25;1;2
2020-10-12;2020-10-11;78;491.194124000000;16;339.646186200000;13;1;2;1.561863566729;20;0.257675096263;25;1;2
2020-10-13;2020-10-12;78;519.471824100000;16;364.462875800000;13;1;2;1.457142857142;20;0.259473425196;25;1;2
2020-10-14;2020-10-13;83;578.954115900000;16;406.543349400000;13;1;2;1.498999886779;20;0.272295995667;30;1;2
2020-10-15;2020-10-14;83;640.848989300000;16;447.357186700000;13;1;2;1.402611916469;20;0.281923086796;30;1;2
2020-10-16;2020-10-15;86;699.031479400000;16;483.198303600000;16;1;2;1.444820359281;20;0.292500348524;30;1;2
2020-10-17;2020-10-16;86;767.378605700000;16;527.577487600000;16;1;2;1.463910685437;20;0.289994628141;30;1;2
2020-10-18;2020-10-17;86;824.971977100000;16;566.092614500000;16;1;2;1.529077064680;20;0.295879321045;30;1;2
2020-10-19;2020-10-18;86;855.063788900000;16;589.783405100000;16;1;2;1.429441828847;20;0.298202674454;30;1;2
2020-10-20;2020-10-19;81;901.426499600000;16;621.824613000000;16;1;2;1.378309467980;15;0.304902000282;30;1;2
2020-10-21;2020-10-20;85;971.812163800000;20;673.569052700000;16;1;2;1.330501274426;15;0.310440862190;30;1;2
2020-10-22;2020-10-21;85;1061.891226400000;20;736.853956800000;16;1;2;1.372174598482;15;0.321830845955;30;1;2
2020-10-23;2020-10-22;85;1143.816137300000;20;795.306877800000;16;1;2;1.350953996570;15;0.327435584557;30;1;2
2020-10-24;2020-10-23;85;1205.832574800000;20;845.925418500000;16;1;2;1.377448217556;15;0.336861057628;30;1;2
2020-10-25;2020-10-24;85;1279.117077400000;20;901.000642700000;16;1;2;1.353802956478;15;0.339469793293;30;1;2
2020-10-26;2020-10-25;85;1318.354256500000;20;932.478901100000;16;1;2;1.311528517584;15;0.342966993581;30;1;2
2020-10-27;2020-10-26;89;1374.124165000000;20;979.485182700000;20;1;2;1.240869727563;15;0.347086423125;30;1;2
2020-10-28;2020-10-27;89;1442.779877400000;20;1037.797366300000;20;1;2;1.216332262158;15;0.353804764055;30;1;2
2020-10-29;2020-10-28;84;1474.882173900000;20;1075.421156500000;20;1;2;1.126409738383;10;0.352298949405;30;1;2
